Time;Day;Hour;Rownum;L1547777_x;L1022212_x;L1100545_x;L1132034_x;L1132035_x;L1143298_x;L1384705_x;L264453_x;L264454_x;L100353;L100354;L1022209;L1022212;L1089541;L1100545;L1132034;L1132035;L1132037;L1132038;L1143298;L1322753;L1384705;L1391361;L1456129;L1547777;L1598466;L1618689;L1618690;L264453;L264454;L280833;L311809;L313089;L313090;L313857;L314626;L317441;L420353;L442882;L529922;L67074;L74497;L74498;L74499;L75267;L75522;L82947;L82948;L88321;L88322;L92673
1493758800;3;21;22;32;20;20;20;20;12;16;20;20;32,24;18,61;1,2;0,06;0,01;19,52;5,81;2,69;16,55;8,46;5,47;27,45;18,19;34,29;61,71;13,76;2,33;22,55;28,03;0,01;0,19;20,62;48,76;14,18;35,85;45,66;52,51;64,04;62,5;13,04;57,24;9,01;4,68;22,67;5,86;33,72;65,4;0,38;0,01;87,83;140,23;59,47
1493762400;3;22;23;32;20;20;20;20;12;16;20;20;31,64;21,34;0,85;0,04;0,03;19,07;3,48;2,11;14,87;7,12;6,46;26,27;19,91;33,49;64,12;13,48;1,81;25,68;34,98;0;0,11;20,82;49,29;16,87;34,62;42,73;55,21;67,48;66,87;13,11;54,7;6,77;5,22;22,73;4,2;33,35;61,5;0,26;0;83,13;137,22;63,09
1493766000;3;23;24;32;20;20;20;20;12;16;20;20;25,33;18,87;0,35;0,01;0,01;12,39;4,15;2,02;11,54;6,16;3,91;22,05;13,11;27,09;53;10,46;1,05;21,62;28,26;0;0,07;19,25;43,69;14,86;28,51;32,53;47,33;60,21;57,01;10,95;52,8;3,14;4,73;18,07;2,97;26,41;56,89;0,12;0,01;67,93;118,34;46,61
1493769600;4;0;25;32;20;20;20;20;12;16;20;20;19,39;14,38;0,13;0;0,01;8,34;2,86;1,94;8,59;2,89;2,87;17,86;10,11;20,04;44,93;9,41;0,49;16,23;17,41;0;0;14,85;32,21;12,28;23,69;23,2;36,44;46,71;41,05;8,49;45,24;2,23;4,51;12,76;1,87;19,15;47,68;0,01;0;49,34;85,64;37,22
1493773200;4;1;26;32;20;20;20;20;12;16;20;20;14,8;12,21;0,14;0;0,01;6,01;1,5;0,73;6,94;2,75;1,93;14,33;8,37;15,69;34,17;7,99;0,27;10,4;13,5;0;0;9,87;22,61;6,94;15,82;19,03;25,64;34,56;31,78;6,98;32,48;1,6;4,96;10,46;1,78;14,21;35,43;0;0;33,61;64,92;28,66
1493776800;4;2;27;32;20;20;20;20;12;16;20;20;12,59;9,01;0,01;0;0,01;5,49;0,54;0,65;4,66;2,6;2,03;12,92;7,64;12,96;24,86;6;0,23;7,79;10,6;0;0;5,56;19,93;6,82;14,04;15,55;20,28;29,63;24,85;7,5;27,42;1,39;4,16;9,57;1,38;11,95;26,02;0;0;24,08;50,45;24,9
1493780400;4;3;28;32;20;20;20;20;12;16;20;20;11,98;7,83;0,01;0;0,01;4,66;0,98;0,41;5,04;2,28;0,87;11,49;5,71;10,66;22,43;4,81;0,74;5,26;10,33;0;0;6,33;18,47;7,21;13,78;13,98;14,49;27,12;22,57;6,07;24,98;1,92;4,39;8,49;1,39;9,82;22,57;0;0;23,34;46,09;22,11
1493784000;4;4;29;32;20;20;20;20;12;14;20;20;8,86;7,72;0,01;0;0,01;4,46;1,27;0,85;4,39;2,01;0,47;10,08;5,09;9,36;22,94;5,1;0,81;5,66;10,93;0;0;5,58;15,94;6,46;13,51;10,87;13,52;25,31;23,59;3,99;22,15;2,66;4,01;7,96;1,49;8,95;18,67;0;0;22,09;40,73;17,76
1493787600;4;5;30;32;20;20;20;20;12;14;20;20;9,32;8,39;0,42;0;0,01;4,98;1,42;0,57;4,93;3,04;1,02;10,19;4,92;10,16;23;4,3;0,36;7,21;10,74;0;0,1;5,55;17,22;6,92;14,82;14,12;15,44;26,92;24,12;4,51;25,03;4,68;4,07;8,09;2,02;7,16;16,05;0;0;24,36;46,21;17,87
1493791200;4;6;31;32;20;20;20;20;12;14;20;20;11,26;10,8;1,64;0,01;0,11;8,89;2,08;0,73;6,95;4,17;2,16;11,15;7,09;12,05;23,71;5,68;2,3;13,09;13,54;0;0,34;8,49;20,65;7,94;14,3;19,82;19,91;31,85;29,28;5,31;29,64;11,58;5,79;14,03;3,38;9,19;21,32;0,17;0;36,64;54,83;22,54
1493794800;4;7;32;32;20;20;20;20;12;14;20;20;14,56;11,69;4,36;0,02;0,82;11,64;2,61;1,76;11,04;9,1;3,24;16,77;9,82;16,56;28,89;9,66;0,96;21,38;13,65;0,01;0,65;13,03;30,97;7,73;15,46;30,54;23,92;35,17;38,82;7,89;36,86;20,34;13,66;24,38;6,47;16,04;36,26;0,35;0;58,42;71,7;34,09
1493798400;4;8;33;32;20;20;20;20;12;14;20;20;13,31;11,72;5,52;0,05;4,43;21,06;3,68;1,21;17,78;21,21;5,06;30,99;11,14;15,97;33,85;11,21;0,93;25,96;14,76;0,01;1,13;17,95;31,44;7,91;19,83;35,59;27,76;37,02;58,4;6,29;48,06;25,93;27,36;32,81;11,42;19,96;47,12;0,36;0,01;82,46;90,8;43,94
1493802000;4;9;34;32;20;20;20;20;12;14;20;20;14,79;12,98;3,48;0,03;7,26;23,52;4,07;0,69;23,7;26,23;3,65;32,31;13,41;16,85;36,65;8,65;1,51;18,94;13,93;0,01;0,88;21,37;27,56;8,24;17,91;26,87;28,71;35,59;65,43;4,89;51,77;21,58;36,37;35,85;18,06;18,27;49,82;0,6;0,01;84,41;110,84;43,89
1493805600;4;10;35;32;20;20;20;20;12;14;20;20;18,82;8,54;2,09;0,01;8,34;32,5;4,37;1,15;25,58;28,32;2,66;28,35;15,77;18,26;40,15;7,85;1,1;19,64;11,06;0;0,41;24,04;24,11;10,83;18,95;24,64;34,07;32,9;69,16;6,12;59,19;17,47;37,7;28,12;21,01;18,81;55,31;1,12;0;86,69;114,26;40,72
1493809200;4;11;36;32;20;20;20;20;12;14;20;20;13,94;8,88;2,99;0,02;11,42;33,65;5,82;1,86;25,24;29,63;2,71;31,62;13,92;15,89;39,66;10,67;1,41;22,47;12,44;0;0,46;29,52;28,62;12,27;19,02;28,57;42,2;34,93;62,22;8,28;54,24;19,33;39,72;33,39;21,89;22,01;58,97;1,85;0,07;85,28;130,48;36,66
1493812800;4;12;37;32;20;20;20;20;12;14;20;20;17,2;11,5;3,07;0,03;12,15;36,64;4,56;1,69;24,5;30,67;3,78;28,05;14,29;15,63;39,18;10,99;1,3;20,74;10,52;0;0,54;29,67;26,06;11,68;21,55;30,36;39,37;31,46;62,83;9,38;59,31;18,17;45,42;29,67;20,58;22,79;52,74;1,55;0,07;99,54;121,02;38,44
1493816400;4;13;38;32;20;20;20;20;12;14;20;20;17,43;11,06;3,06;0,06;10,09;35,52;4,19;2,32;22,67;32,1;3,48;28,59;14,65;15,9;37,94;9,15;2,09;19,41;10,47;0,01;0,44;27,26;26,91;12,23;19,67;27,31;46,43;28,4;59,02;6,17;59,43;20,82;42,08;33,09;18,83;26,67;57,03;1,04;0,02;92,97;118,32;40,5
1493820000;4;14;39;32;20;20;20;20;12;14;20;20;18,71;10,82;2,63;0,07;9,71;35;4,87;2,17;22,99;27,37;3,51;17,87;12,86;15,24;35,39;7,62;2,05;20,18;9,14;0,02;0,53;29,9;24,64;10,65;18,87;31,78;44,32;28,86;55,09;6,57;55,16;22,2;37,59;30,79;19,54;27,63;54,6;1,02;0,12;93,43;124,3;42,56
1493823600;4;15;40;32;20;20;20;20;12;14;20;20;20,94;12,31;3,23;0,13;8,9;33,54;5,04;1,94;23,84;24,59;2,98;17,11;13,3;20,18;38,02;7,46;1,83;26,13;10,85;0,02;0,61;28,42;25,08;10,83;17,69;36,32;44,49;28,62;62,17;5,64;54,2;24,19;29,89;35,43;16,68;32,08;53,65;1,54;0,07;107,77;131,13;54,39
1493827200;4;16;41;32;20;20;20;20;12;14;20;20;22,53;11,18;3,41;0,16;5,95;25,31;6,56;2,12;23,53;16,96;4,03;19,29;16,86;22,31;42,5;7,87;1,43;28,3;14,67;0,03;0,82;25,93;26,27;10,53;18,16;37,23;35,39;34,84;59,78;6,71;54,88;25,61;19,58;38,11;14,79;32,49;51,89;2,06;0,09;120,05;122,28;60
1493830800;4;17;42;32;20;20;20;20;12;14;20;20;23,19;13,05;3;0,17;1,84;21,67;6,73;2,43;19,82;8,28;3,49;21,1;13,64;20,75;48,62;10,43;2,27;24,41;18,87;0,04;0,63;23,41;28,55;11,84;19,05;39,14;35,1;45,9;54,86;7,51;54,98;21,09;13,05;25,92;14,08;35,95;44,45;2,42;0,03;119,21;122,4;57,25
1493834400;4;18;43;32;20;20;20;20;12;14;20;20;26,63;16,99;1,93;0,12;0,62;20,31;5,2;1,74;16,04;7,13;4,16;19,34;16,59;21,45;44,8;12,72;2,86;21,66;20,53;0,02;0,48;21,39;31,84;9,72;20,42;38,39;37,91;48,21;51,17;12,31;54,35;14,51;7,07;23,65;11,02;28,37;46,69;1,57;0;110,07;123,73;54,47
1493838000;4;19;44;32;20;20;20;20;12;14;20;20;26,9;16,22;1,66;0,09;0,3;21,42;3,75;2,22;15,83;6,4;3,79;20,57;16,99;25,36;51,2;13,33;2,25;24,29;24,64;0,01;0,41;25,26;35,1;10,4;22,28;38,04;42,2;58,91;54,12;11,88;53,55;11,44;5,68;25,84;8,18;27,01;47,6;0,44;0;97,35;125,77;51,1
1493841600;4;20;45;32;20;20;20;20;12;14;20;20;29,46;16,02;1,66;0,07;0,21;23,84;4,67;2,18;15,54;6,42;2,33;21,74;14,33;28,39;55,31;14,01;2,65;23,86;24,95;0,01;0,28;26,84;39,87;11,6;25,62;39,48;50,45;62,51;53,53;12,36;58,92;11,36;4,23;24,48;6,31;27,16;54,11;0,41;0,02;85,26;127,44;49,62
1493845200;4;21;46;32;20;20;20;20;12;14;20;20;31,96;18,27;1,2;0,04;0,19;22,48;6,55;2,7;12,74;6,47;3,46;24,63;19,31;28,95;65,94;12,76;2,95;22,18;31,41;0,01;0,26;24,61;39,79;14,92;32,11;41,6;50,92;62,86;62,44;12,65;56,49;8,55;3,72;24,42;6,57;30,6;56,19;0,21;0;83,04;140,84;57,11
1493848800;4;22;47;32;20;20;20;20;12;14;20;20;34,47;15,7;0,87;0,02;0,15;19,18;7,04;2,91;11,27;6,97;4,57;22,13;15,26;28,3;60,85;11,72;3,18;20,2;30,74;0;0,23;23,04;48,01;14,11;34,4;38,97;49,22;67,07;62,9;13,18;57,16;7,33;3,19;23,77;6,54;30,41;59,24;0,08;0;79,63;139,41;58,67
1493852400;4;23;48;32;20;20;20;20;12;14;20;20;30,17;14,79;0,51;0;0,03;13,88;5,73;1,84;10,55;4,65;2,31;19,57;18,37;24,59;58,74;10,19;4,07;15,26;24,69;0;0,02;20,55;42,61;13,64;33,86;32,23;40,24;58,82;48,79;11,71;50,15;3,81;2,97;20,27;6,12;26,64;58,2;0,09;0;69,97;114,45;47,53
1493856000;5;0;49;32;20;20;20;20;12;14;20;20;22,32;11,77;0,03;0;0,02;10,75;5,1;2,01;7,82;3,35;2,74;17,09;14,38;19,15;43,54;7,51;2,7;12,73;17,39;0;0;11,97;31,7;11,95;25,32;26,19;31,96;47,15;32,11;8,47;38,58;2,38;2,76;16,64;4,46;21,34;46,31;0;0;55,37;85,15;31,69
1493859600;5;1;50;32;20;20;20;20;12;14;20;20;15,32;8,32;0,01;0;0,03;7,7;0,92;0,56;6,37;3,52;1,5;13,9;8,1;14,35;32,73;6,18;1,09;9,86;12,3;0;0;6,65;25,03;9,36;21,51;21,28;23,52;34,48;27,23;7;33,5;1,76;2,52;11,72;3,32;17,06;31,94;0;0;38,65;64,56;24,02
1493863200;5;2;51;32;20;20;20;20;12;14;20;20;11,79;6,28;0,02;0;0,02;7,55;0,76;0,95;5,32;3,05;0,33;11,8;4,45;11,66;24,66;3,22;0,95;6,34;10,9;0;0;5,44;20,89;6,87;18,78;16,97;18,56;28,71;20,55;5,53;26,11;1,67;2,47;8,65;2,94;10,75;22,69;0;0;32,51;50,86;19,25
1493866800;5;3;52;32;20;20;20;20;12;14;20;20;12,18;7,35;0,01;0;0,02;7,34;1,22;1,53;4,66;2,59;0,73;10,96;3,77;10,82;21,22;3,61;0,53;5,55;8,2;0;0;5,61;18,31;6,87;17,69;15,53;16,59;25,81;19,16;5,98;27,72;1,83;2,59;7,55;2,33;10;19,55;0,01;0;29,67;45,24;16,68
1493870400;5;4;53;32;20;20;20;20;12;14;20;20;10,95;6,36;0,01;0;0,02;7,31;0,32;0,69;4,35;3,18;0,53;10,01;3,49;9,92;21,06;4,57;0,21;4,67;7,54;0;0;4,43;18,24;7,75;15,14;12,42;16,01;23,01;18,6;4,9;28,18;1,77;2,23;7,99;2,43;8,26;16,68;0,01;0;26,46;42,98;18,59
1493874000;5;5;54;32;20;20;20;20;12;12;20;20;11,08;5,91;0,52;0;0,02;7,03;0,54;1,19;5;2,75;0,61;8,54;3,23;11,38;23,23;4,73;0,42;7,23;8,96;0;0,12;4,86;18,03;8,69;14,14;14,44;18,04;25,45;21,64;4,37;27,79;2,97;2,36;8,8;2,64;8,31;14,72;0,04;0;26,74;46,06;20,39
1493877600;5;6;55;32;20;20;20;20;12;12;20;20;11,84;7,72;1,69;0,01;0,18;9,52;0,67;1,69;6,58;3,65;2,01;11,29;5,28;14,32;24,5;5,84;0,38;13,26;10,71;0;0,4;8,77;22,55;8,35;15,88;20,17;19,56;33,86;28,58;6,52;30,85;8,36;4,34;16,15;4,03;11,41;18,29;0,12;0;37,58;54,62;22,84
1493881200;5;7;56;32;20;20;20;20;12;12;20;20;15,84;9,54;3,8;0,03;1;13,39;1,98;1,97;10,16;9,86;2,78;14,79;9,05;19,09;31,4;9,17;1,23;21,1;11,8;0;0,72;17,2;29,52;9,36;17,39;29,89;20,05;35,72;41,8;8,89;39,93;19,86;11,95;22,57;6,09;21,75;31,39;0,4;0;53,85;71,43;32,37
1493884800;5;8;57;32;20;20;20;20;12;12;20;20;20,58;9,39;5,84;0,03;3,78;19,13;4,35;3,63;21,61;22,53;3,25;29,69;8,93;20,99;35,88;8,34;1,3;28,22;10,87;0,01;1,02;21,15;29,66;9,27;18,68;33,7;30,99;35,22;61,15;5,2;49,69;28,28;32;31,28;11,66;25,54;43,6;0,29;0;75,35;88,44;48,25
1493888400;5;9;58;32;20;20;20;20;12;12;20;20;20,29;11,41;3,27;0,01;7,83;25,28;3,4;2,84;23,95;26,55;2,7;29,55;9,76;21,65;32,12;8,97;1,07;20,22;13,7;0;0,85;23,51;26,18;9,45;17,99;27,6;37,43;38,02;65,96;6,53;51,31;21,36;43,09;30,79;17,14;22,04;51,8;0,63;0,01;74,21;105,65;43,86
1493892000;5;10;59;32;20;20;20;20;12;12;20;20;14,63;10,42;1,88;0,05;9,78;30,38;3,18;2,01;25,61;28;2,69;27,65;10,01;19,71;32,87;8,01;1,59;19,85;10,3;0,01;0,37;22,68;26,83;12,61;19,09;26,95;38,63;33,73;62,78;7,32;53,17;18,68;46,64;28,95;18,43;22,01;54,82;0,36;0,51;71,74;111,43;42,1
1493895600;5;11;60;32;20;20;20;20;12;12;20;20;18,09;9,38;2,52;0,03;10,05;35,67;4,14;1,87;23,88;27,42;2,37;33,19;9,47;14;34,05;7,77;1,97;21,04;9,66;0,01;0,38;25,02;27,93;12,41;18,75;27,98;42,71;31,43;64,56;6,63;55,56;19,89;44,84;35,1;18,9;23,5;55,42;1,03;0,27;83,46;125,56;44,53
1493899200;5;12;61;32;20;20;20;20;12;12;20;20;20,73;10,76;2,65;0,03;9,21;39,36;3,39;1,64;23,33;29,43;3,16;29,62;9,36;16,42;35,09;8,37;2,05;22,93;8,87;0;0,39;28,22;24,88;14,97;19,21;29,79;40,53;31,34;73,39;7,15;54,86;19,71;43,18;32,91;19,74;24,23;56,98;1,14;0,11;86,23;122,72;46,03
1493902800;5;13;62;32;20;20;20;20;12;12;20;20;16,28;10,62;2,72;0,06;11,93;34,78;2,82;2,69;24,43;28,27;3,31;24,15;9,91;17,2;29,83;9,5;1,88;24,74;9,04;0;0,39;25,69;27,31;10,53;20,78;30,44;46,49;32,67;63,08;6,4;56,13;21,03;41,79;35,37;27,17;21,77;57,5;1,54;0,09;90,75;121,61;50,28
1493906400;5;14;63;32;20;20;20;20;12;12;20;20;18,09;10,27;2,64;0,11;12,25;30,31;4,58;2,51;23,99;33,77;4,46;24,85;12,51;14,64;31,42;6,31;1,94;25,51;9,76;0,02;0,48;24,9;25,28;11,27;19,73;31,94;43,7;29,36;63,79;5,76;52,22;22,1;34,97;31;20,41;25,64;51,07;1,87;0,04;96,66;122,35;47,34
1493910000;5;15;64;32;20;20;20;20;12;12;20;20;16,04;9,82;3,11;0,12;9,3;26,42;5,39;1,7;25,19;23,39;2,96;18,52;13,44;15,34;37,19;8,59;1,3;31,65;9,65;0,02;0,71;25,04;29,63;11,23;18,28;33,41;35,77;29,46;63,71;6,04;53,39;21,6;26,08;34,77;18,12;31,21;53,31;1,28;0,01;111,51;121,03;48,4
1493913600;5;16;65;32;20;20;20;20;12;12;20;20;18,54;7,58;3,4;0,17;4,98;23,98;6,19;1,32;19,26;15,91;3,7;17,51;13,42;19,35;38,14;8,84;1,32;30,96;15,42;0,02;0,8;29,59;30,9;12,17;20,08;39,95;36,91;37,82;57,91;6,67;54,12;22,91;19,95;34,88;15,2;36,89;58,22;1,06;0,01;106,71;125,69;51,11
1493917200;5;17;66;32;20;20;20;20;12;12;20;20;24,66;9,58;3,1;0,16;2,08;17,59;7,09;0,97;14;9,06;3,05;16,24;12,15;21,67;45,24;11,04;1,81;26,67;17,87;0,02;0,64;26,8;33,51;11,46;20,49;43,26;40,13;36,7;52,69;7,44;62,54;17,77;12,35;30,21;12,8;35,54;46,21;0,91;0;107,58;129,94;53,56
1493920800;5;18;67;32;20;20;20;20;12;12;20;20;25,69;9,95;1,94;0,11;0,83;19,85;5,96;1,55;15,74;8,01;3,28;15,29;12,19;25,43;49,53;11,44;2,28;22,84;17,17;0,01;0,34;27,24;37,06;10,73;20,87;36,99;40,79;44,93;50;10,01;54,28;11,44;7,35;24,32;9,32;39,03;47,56;1,34;0,03;102,22;126,59;51,73
1493924400;5;19;68;32;20;20;20;20;12;12;20;20;21,63;9,25;1,55;0,09;0,97;23,99;5,78;0,92;13,05;7,44;3,3;17,23;13,88;24,58;58,45;12,83;3,37;18,92;19,72;0,02;0,28;27,72;35,29;13,93;24,63;34,1;42,19;52,42;53,36;14,38;53,9;10,63;6,87;25,29;7,39;34,03;45,86;0,79;0,01;104,1;121,99;54,62
1493928000;5;20;69;32;20;20;20;20;12;12;20;20;26,33;12,85;1,42;0,06;0,42;26,42;5,1;1,85;11,08;7,78;2,93;18,79;13,4;28,75;70,13;14,82;2,31;19,98;23,48;0,01;0,34;28,97;38,4;14,35;24,93;35,43;46,85;56,13;53,69;11,65;51,47;10,01;6,05;21,73;5,73;34,63;53,12;0,51;0;105,4;128,79;50,62
